Ticket_ID,Ticket_Subject,Ticket_Description,Issue_Category,Priority_Level,Ticket_Channel,Resolution_Time_Hours,Satisfaction_Score,Expected_Mismatch,Note,combined_raw,combined_text,nlp_severity_score,resolution_severity_score,cluster,embedding_severity_score,zeroshot_severity_score,final_severity_score,Inferred_Severity,assigned_ord,inferred_ord,severity_delta,Mismatch,Mismatch_Type
ADV-001,Just checking in about my account,I noticed my entire savings balance shows zero and I can't transfer funds. Happened this morning.,Account,Low,Email,95,1,1,Hidden Crisis — critical account issue disguised as casual inquiry,Just checking in about my account I noticed my entire savings balance shows zero and I can't transfer funds. Happened this morning.,just checking in about my account i noticed my entire savings balance shows zero and i can t transfer funds happened this morning,0.0,0.8878878878878879,0,0.3333333333333333,0.19902638226747513,0.33839523420550743,Low,0,0,0,0,Consistent
ADV-002,Minor billing question,"Hi, just a small thing — I was charged three times for the same subscription. Total over $900 extra.",Billing,Low,Chat,110,1,1,Hidden Crisis — triple billing framed as minor query,"Minor billing question Hi, just a small thing — I was charged three times for the same subscription. Total over $900 extra.",minor billing question hi just a small thing i was charged three times for the same subscription total over 900 extra,0.16,0.9174174174174174,1,0.6666666666666666,0.424700403213501,0.5168627884910629,High,0,2,2,1,Hidden Crisis
ADV-003,A small thing I noticed,The entire production database appears to be returning null for all queries since the update yesterday.,Technical,Medium,Web Form,118,1,1,Hidden Crisis — production DB failure described without urgency cues,A small thing I noticed The entire production database appears to be returning null for all queries since the update yesterday.,a small thing i noticed the entire production database appears to be returning null for all queries since the update yesterday,0.16,0.9289289289289289,2,0.0,0.30215447857975963,0.3557708518771721,Low,1,0,-1,1,False Alarm
ADV-004,Friendly reminder about my request,Following up on my earlier message about the login. Still completely locked out of company account for 3 days now.,Account,Low,Email,105,1,1,Hidden Crisis — 3-day lockout framed as polite follow-up,Friendly reminder about my request Following up on my earlier message about the login. Still completely locked out of company account for 3 days now.,friendly reminder about my request following up on my earlier message about the login still completely locked out of company account for 3 days now,0.16,0.9079079079079079,0,0.3333333333333333,0.5126228293776512,0.4697993509880565,High,0,2,2,1,Hidden Crisis
ADV-005,Something weird happened,"I see a strange transaction of $4,500 that I did not authorise. Looks like someone accessed my account.",Billing,Medium,Chat,112,1,1,Hidden Crisis — fraud/unauthorized access understated in subject,"Something weird happened I see a strange transaction of $4,500 that I did not authorise. Looks like someone accessed my account.",something weird happened i see a strange transaction of 4 500 that i did not authorise looks like someone accessed my account,0.0,0.9204204204204205,1,0.6666666666666666,0.7007963214814663,0.5386375188088051,Critical,1,3,2,1,Hidden Crisis
ADV-006,CRITICAL URGENT EMERGENCY please respond ASAP!!!,The font size on your website seems a little small on mobile. Could you look into it when you get a chance?,General Inquiry,Critical,Email,4,5,1,False Alarm — critical label for cosmetic UI issue,CRITICAL URGENT EMERGENCY please respond ASAP!!! The font size on your website seems a little small on mobile. Could you look into it when you get a chance?,critical urgent emergency please respond asap the font size on your website seems a little small on mobile could you look into it when you get a chance,0.7,0.0940940940940941,0,0.3333333333333333,0.9435952554829419,0.5360890040609256,Critical,3,3,0,0,Consistent
ADV-007,SYSTEM DOWN OUTAGE — COMPLETE FAILURE,I was trying to update my newsletter email preferences but the dropdown menu was a bit slow.,Account,Critical,Chat,3,4,1,False Alarm — outage keywords for dropdown latency,SYSTEM DOWN OUTAGE — COMPLETE FAILURE I was trying to update my newsletter email preferences but the dropdown menu was a bit slow.,system down outage complete failure i was trying to update my newsletter email preferences but the dropdown menu was a bit slow,0.78,0.06806806806806807,2,0.0,0.751181770786643,0.43881245971367777,Medium,3,1,-2,1,False Alarm
ADV-008,Security breach account hacked,I wanted to ask whether I can add a second email address to my profile for notifications.,Account,High,Web Form,2,5,1,False Alarm — security breach subject for routine account inquiry,Security breach account hacked I wanted to ask whether I can add a second email address to my profile for notifications.,security breach account hacked i wanted to ask whether i can add a second email address to my profile for notifications,0.6799999999999999,0.041041041041041046,0,0.3333333333333333,0.7104186965152621,0.4585316010557424,High,2,2,0,0,Consistent
ADV-009,Payment failed — urgent data loss,Could you help me understand the difference between the Basic and Pro subscription plans? No rush!,Billing,High,Email,5,5,1,False Alarm — alarming subject for routine pricing question,Payment failed — urgent data loss Could you help me understand the difference between the Basic and Pro subscription plans? No rush!,payment failed urgent data loss could you help me understand the difference between the basic and pro subscription plans no rush,0.74,0.11711711711711711,1,0.6666666666666666,0.8206574347242713,0.5897769712936805,Critical,2,3,1,1,Hidden Crisis
ADV-010,Cannot access account — urgent,I am unable to log in to my account. I have tried resetting the password but the link is not working. This is blocking my work.,Account,High,Chat,55,2,0,Consistent — genuine high-priority ticket correctly labelled,Cannot access account — urgent I am unable to log in to my account. I have tried resetting the password but the link is not working. This is blocking my work.,cannot access account urgent i am unable to log in to my account i have tried resetting the password but the link is not working this is blocking my work,0.7,0.7337337337337337,0,0.3333333333333333,0.9434329420840367,0.6959583356211092,Critical,2,3,1,1,Hidden Crisis
